Input_pH,Input_pe,U_initial,Carbonate,NaCl,Ca,Hfo_s,Hfo_w,Output_pH,Output_pe,U_ads,U_diss,HFO_gL,Ads_%,Kd_L_g,logKd,U_surface_total,Hfo_sOUO2+,(Hfo_sO)2UO2,(Hfo_sO)2UO2CO3-2,Hfo_wOUO2+,(Hfo_wO)2UO2,(Hfo_wO)2UO2CO3-2,UO2+2,UO2OH+,UO2(OH)2,UO2CO3,UO2(CO3)2-2,UO2(CO3)3-4,UO2Cl+,CaUO2(CO3)3-2,Ca2UO2(CO3)3,SI_Na2U2O7,SI_UO2CO3,SI_beta_UO2OH2,Dominant_aq_species,Dominant_surface_species
3.0,17.8,5.179474679231213e-08,0.01,0.0630957344480193,0.0001,0.001,0.04,3.0,17.601542960068844,4.19126619867354e-08,9.8820848054251e-09,8.2,80.92068130924135,0.5172289393305739,-0.2863171840237163,4.19126619867354e-08,2.6360423589479773e-08,1.4451016210698878e-08,4.564757022567075e-31,9.184094905742047e-10,1.8281269598254118e-10,1.826104516264888e-33,9.14063538599852e-09,5.1281594186714276e-11,6.3474643969168926e-15,1.5636850598125875e-11,1.4791592712615408e-17,5.0064999620085975e-25,6.727521917494768e-10,4.930616351385972e-24,2.39840118454096e-26,-23.26640975108642,-5.979504337222696,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,1e-05,0.0039810717055349,0.01,0.001,0.04,3.0,17.601106930815874,2.1980722916646438e-07,4.846235035559503e-08,8.2,81.93520471207388,0.553125456313163,-0.2571763536770472,2.1980722916646438e-07,1.3825522704555602e-07,7.577495464212074e-08,2.3761042090035738e-33,4.818006226935136e-09,9.590412518524408e-10,9.509924886331057e-36,4.795207874415064e-08,2.6956569895013115e-10,3.37341427528362e-14,8.21665582516998e-14,7.646928612163185e-23,2.5693710969130848e-33,2.405262564647956e-10,3.2105184764378346e-30,1.999269641539464e-30,-24.16149727361497,-8.262852762684552,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,7.196856730011514e-05,1.0,1e-05,0.0001778279410038,0.0071131176401556,3.0,17.608342765875857,8.110542471026182e-08,1.8716415481682066e-07,1.4581891162319167,30.232807183344796,0.2971757538145385,-0.5269866269912247,8.110542471026182e-08,5.101907567770367e-08,2.7953833469405238e-08,7.509971408887982e-33,1.7784990705100991e-09,3.540164926428334e-10,3.0076022779034285e-35,9.95391213981806e-08,5.412268373648223e-10,5.2991221435867017e-14,1.1820335384791389e-12,1.1651655165587147e-20,3.3541658512472925e-30,8.496451570755135e-08,1.5030537549213477e-30,2.7152109651677074e-34,-19.04635012698912,-7.012809286949086,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,7.196856730011514e-05,1.0,0.001,0.001,0.04,3.0,17.608346178662924,1.9024403267503365e-07,7.802554685027988e-08,8.2,70.91524615268452,0.2973448149508872,-0.526739630253157,1.9024403267503365e-07,1.196589641851174e-07,6.558526775377073e-08,1.762641620172033e-32,4.1697893392827834e-09,8.300113968627233e-10,7.054102735822501e-35,4.150058194057643e-08,2.2564872372443629e-10,2.2083739466695322e-14,4.928025540041481e-13,4.8614926792511455e-21,1.3999978245559723e-30,3.541648396322611e-08,6.27186918452915e-29,1.1322117579536502e-30,-19.8062634380709,-7.392588088632582,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,0.0005179474679231,0.0158489319246111,0.01,5.623413251903491e-06,0.0002249365300761,3.0,17.60119633041517,6.569699290287874e-09,2.6169988023754177e-07,0.0461119886656086,2.448916981883458,0.5444125336440573,-0.2640718848834841,6.569699290287874e-09,4.133881745493727e-09,2.2628655907928428e-09,3.684113790563149e-33,1.4424040915762488e-10,2.8711544843678988e-11,1.4781919666626724e-35,2.552862028756448e-07,1.4345171180166987e-09,1.7895879461796877e-13,2.265012172576373e-11,1.0974276493688238e-18,1.9144770961800552e-27,4.952300041326789e-09,2.1853932047014312e-24,1.2398750511033471e-24,-21.532734801806924,-5.821298379197653,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,0.0005179474679231,0.2511886431509579,0.0,3.1622776601683795e-05,0.0012649110640673,3.0,17.60288716513666,2.7650818762484996e-08,2.406187608007821e-07,0.2593067681338071,10.30710183806055,0.4431641875171909,-0.3534353425758419,2.7650818762484996e-08,1.7396703634544116e-08,9.526559700827872e-09,1.6169139945831295e-32,6.067748072734342e-10,1.2078061983956963e-10,6.482582918868716e-35,1.909711841070235e-07,1.0647914686737052e-09,1.2556623680917917e-13,1.6827913131110914e-11,8.922149456586264e-19,1.622633060874638e-27,4.8149106330078976e-08,0.0,0.0,-19.544281034647867,-5.929281332579915,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,0.0013894954943731,0.0630957344480193,0.001,3.1622776601683795e-05,0.0012649110640673,3.0,17.6015143977045,3.1721875238016074e-08,2.3654770440178838e-07,0.2593067681338071,11.82462629338426,0.5171615906703029,-0.2863737374253809,3.1721875238016074e-08,1.995911579349847e-08,1.0927898508308094e-08,4.79902463207618e-32,6.962666665783892e-10,1.3859426963111638e-10,1.9246935916350323e-34,2.1913711863020081e-07,1.229584001258339e-09,1.5215161613135486e-13,5.209648024273425e-11,6.854071005834381e-18,3.2252614479445373e-26,1.6086098606378083e-08,3.1542324725943314e-24,1.522995361927441e-25,-20.508587110959517,-5.456667726900459,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,0.0037275937203149,0.001,0.0001,1e-06,4e-05,3.0,17.60106182363656,1.2127392368949495e-09,2.6705684029121864e-07,0.0081999999999999,0.4520599163829144,0.5537960710100227,-0.2566501297473954,1.2127392368949495e-09,7.631116676223871e-10,4.1769888774217886e-10,4.856888527908717e-33,2.6628239851590025e-11,5.300441678793675e-12,1.9489777333423043e-35,2.650225772672251e-07,1.49015099784645e-09,1.8750177125553325e-13,1.69279895409909e-10,5.811289448610779e-17,7.240479436385113e-25,3.7400827288165575e-10,1.3227878866001765e-23,1.2107118296337634e-25,-23.78567262357104,-4.951222309820226,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,0.0037275937203149,0.0630957344480193,0.0,3.1622776601683795e-05,0.0012649110640673,3.0,17.601519388078074,3.170592955245282e-08,2.365636499748668e-07,0.2593067681338071,11.818682389647094,0.5168667864748091,-0.2866213744180277,3.170592955245282e-08,1.9949078689366533e-08,1.0922410319266936e-08,1.2861540382778974e-31,6.959160629834346e-10,1.3852448083591963e-10,5.158233876218598e-34,2.1902677251654725e-07,1.2289366032251694e-09,1.5213713500559398e-13,1.3968352288698909e-10,4.925453234102822e-17,6.2147075715316e-25,1.6125204781162043e-08,0.0,0.0,-20.507016834926183,-5.028528298227535,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,2.682695795279728e-07,0.0037275937203149,0.0630957344480193,0.001,0.0001778279410038,0.0071131176401556,3.0,17.60152304706116,1.153489237912224e-07,1.5292065573373969e-07,1.4581891162319167,42.99739239692469,0.5172893567550655,-0.2862664571217434,1.153489237912224e-07,7.256569339489318e-08,3.974933073107274e-08,4.682743070229006e-31,2.530245481095641e-09,5.036541841608343e-10,1.876302923962793e-33,1.416129215370813e-07,7.945620906925675e-10,9.831705735252347e-14,9.031283275150155e-11,3.1874538153996694e-17,4.0235963905813417e-25,1.0395292585915771e-08,3.934956366939114e-23,1.8999470821806243e-24,-20.88786641852328,-5.217726608328245,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,1e-05,0.0158489319246111,0.0,0.0001778279410038,0.0071131176401556,3.0,17.601157526526514,6.132074536623097e-07,7.762880406265529e-07,1.4581891162319167,44.131661897828266,0.54171477040219,-0.2662293227721953,6.132074536623097e-07,3.86220711858499e-07,2.107794643970169e-07,6.595186909741091e-33,1.3516730823335258e-08,2.6905465834585687e-09,2.6621917129995134e-35,7.565067853639642e-07,4.251760832140245e-09,5.329512670138343e-13,1.2959084218718252e-12,1.201186522489347e-21,4.027256231585548e-32,1.5511136739176036e-08,0.0,0.0,-20.547088637749333,-7.065788360795722,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,1e-05,0.2511886431509579,0.0,1e-06,4e-05,3.0,17.602885277734284,4.995539078468108e-09,1.3844999552941197e-06,0.0081999999999999,0.359521790369088,0.4400231870073219,-0.3565244377774302,4.995539078468108e-09,3.148417507231692e-09,1.7147315895539255e-09,5.619078993550315e-35,1.1041213514162712e-10,2.197784654086345e-11,2.277477658890473e-37,1.098900808773802e-06,6.12715673259433e-09,7.22554997542784e-13,1.8695578346218464e-12,1.9137996490764075e-21,6.719940990312584e-32,2.770627995129232e-07,0.0,0.0,-18.02428868972684,-6.883572518185076,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,1e-05,0.2511886431509579,0.0001,5.623413251903491e-06,0.0002249365300761,3.0,17.60288563812037,2.7637027139317782e-08,1.361858467230752e-06,0.0461119886656086,1.9889972476511044,0.4400940502701209,-0.3564545027215848,2.7637027139317782e-08,1.7417529322470482e-08,9.487174472295505e-09,3.109026304186849e-34,6.107515252461833e-10,1.2157181930560816e-10,1.259854596672475e-36,1.0809515224783636e-06,6.027066641169817e-09,7.107189525812981e-13,1.8390174659344035e-12,1.8827004893667328e-21,6.611024162565891e-32,2.725107710117689e-07,4.383575244798969e-31,1.3761960732946503e-33,-18.03864890198135,-6.890706273479562,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,1e-05,1.0,0.0001,3.1622776601683795e-05,0.0012649110640673,3.0,17.60834284194771,9.898585128248604e-08,1.2905096430926047e-06,0.2593067681338071,7.123869899782799,0.2957998952894163,-0.5290019840755588,9.898585128248604e-08,6.233662644448847e-08,3.403444397523567e-08,1.2705386193262381e-33,2.1807048001351886e-09,4.3407606262672965e-10,5.12430590206274e-36,6.863378264342102e-07,3.731842473735109e-09,3.6536879501865035e-13,1.1324783987117893e-12,1.5512305746939689e-21,6.205054018338031e-32,5.858319215930355e-07,2.7805107532578587e-31,5.022574330328397e-34,-17.369263534627393,-7.03139285445376,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,2.6826957952797277e-05,0.0039810717055349,0.0001,0.001,0.04,3.0,17.60107024883295,1.138066389710624e-06,2.514291045036208e-07,8.2,81.90500755988828,0.5519988801020173,-0.2580618033686409,1.138066389710624e-06,7.161016044391896e-07,3.920059608289098e-07,3.28263726709173e-32,2.4985396110500092e-08,4.973428332024602e-09,1.317000951621963e-34,2.4867185096287413e-07,1.3981609924459527e-09,1.757990453681494e-13,1.143103693773426e-12,2.828049953598016e-21,2.5375657335706063e-31,1.356961779458303e-09,4.1762479898932045e-30,3.44099494425854e-32,-22.66519150313569,-7.121443148300873,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,2.6826957952797277e-05,0.0158489319246111,0.0,0.001,0.04,3.0,17.601157584176267,1.1350088353429366e-06,2.544866588741331e-07,8.2,81.6849597526036,0.5439016419939194,-0.2644796300838505,1.1350088353429366e-06,7.141767932029575e-07,3.909538645724458e-07,3.2816747105026156e-32,2.4918137316286208e-08,4.960040251247281e-09,1.3166041529248767e-34,2.480024445881912e-07,1.39383654004628e-09,1.7471513946011026e-13,1.1396953894149872e-12,2.8339749121168977e-21,2.5489776125140677e-31,5.0847523712744734e-09,0.0,0.0,-21.51579878530664,-7.121574018472392,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1.389495494373136e-06,7.196856730011514e-05,0.2511886431509579,0.001,5.623413251903491e-06,0.0002249365300761,3.0,17.6028891141392,2.7641590174256877e-08,1.361853904195832e-06,0.0461119886656086,1.9893256427382116,0.4401681871985959,-0.3563813489325261,2.7641590174256877e-08,1.7420410985695978e-08,9.488733897815458e-09,2.238746271281292e-33,6.108532274126733e-10,1.2159206333276569e-10,9.071974823047724e-36,1.081131522895161e-06,6.027973775849294e-09,7.105302727200137e-13,1.3237121233833207e-11,9.760492825292486e-20,2.4675635969175146e-29,2.723185551043295e-07,1.633172049537976e-27,5.115804395471375e-29,-18.03900468633805,-6.033324861527728,-999.999,UO2+2,Hfo_sOUO2+
